id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgwKwbpqd8XKh8anKB14AaABAg,I wouldve stayed alive,UC-SITBiPJ5w9LIfcNMvWbag,@ivanstarr2604,2,2024-05-26T20:10:23Z
UgxrgYgWmzmB0noUItt4AaABAg,Bro when he doesn’t say on Skibidi: 😱😡,UCURq3NhXBGwKI0QcyLmqYNQ,@MrMan121,2,2024-05-26T20:10:17Z
UgxTRBtmP0saqcvHGEl4AaABAg,WE’RE REALLY RUNNING ALL ON SKIBIDI WITH THIS ONE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! IN OHIO THAT IS!!!!!!!!!!!!!!!!!!!!!! 🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀,UCY163qOoxe51uH_6a5NSbUg,@liftsurfer52,1,2024-05-26T20:19:18Z
UgyoQgxE_uf3iaWwhl94AaABAg,HI,UC1UZQOHkQgnGzNuhWlaYM7w,@Alithekingofnothing,1,2024-05-26T20:09:59Z
Ugzw2-RU0jOFjJvJFMN4AaABAg,Memezee please make gaming channel for more motion,UCOeepGMPBH8ILuzxh2cx_1w,@global_volcano69,1,2024-05-26T20:09:59Z
UgxkVqgaLatrb5PycK54AaABAg,Pls pin,UCjMsyfOPD-easgm-pEd6g7A,@Clappy_serato,1,2024-05-26T20:09:57Z
UgyLTYjEP7QEx2qvKI94AaABAg,certified 2 minutes ago moment 🔥,UCXPwO9GJClJNJyivzRTzp_g,@Br3n0o_,1,2024-05-26T20:13:23Z
UgwPxNZJlqpIVoVoKN94AaABAg,pluh,UCUX5qimtpHqLw3MPwjDywiw,@user-bu7sr1bo6n,1,2024-05-26T20:16:06Z
UgxbtmfiyAI3mu5wy814AaABAg,M,UC2KlO9eTpD2VAeuNu4dZEtw,@riemannhypothesis.,1,2024-05-26T20:09:53Z
UgzHMP7Z2BEnWFRNYQJ4AaABAg,lmfao,UCdKbIkfFH9Ar1yxoMezur5Q,@gerald1138,1,2024-05-26T20:10:23Z
A3uyEdFcox1A3v-cmilZWC,Here before the Pin,UC7ynd3Za1p_m08keorSvnRg,@Just_a_meme420,1,2024-05-26T20:34:01Z
UgwBP3eCOnJJBwcj7tp4AaABAg,Gyautt,UCpvhWfXm9iRGGhaCF8ngyog,@Loganbuslover,1,2024-05-26T20:28:31Z
UgyWSfxEuS2WEXoA1YV4AaABAg,Had to explain gyatt to a chief prosecutor the other day...,UCQibI-5ULu_FHGVbv4-izgA,@cs82271,1,2024-05-26T20:49:55Z
UgxRvlzfL3ShLvjMBuJ4AaABAg,WE GETTING TAKEN BY THE PORTAL WITH THIS ONE 🔥🔥,UCkCqGKTzifaIPVEHP4VeHbA,@KidusGaming56,1,2024-05-26T20:51:13Z
UgzHj0fLItFxWu7pWg54AaABAg,Very cool video meme zee,UCDG2NdWfbm3RD-Q7C4TMwlQ,@rorroryusoul,1,2024-05-26T20:52:24Z
UgyJvm6D2mPXNZ9lKTF4AaABAg,Ok,UC0Vpku736gQWZxpquTb-y4g,@wiebelvr8008,1,2024-05-26T20:09:51Z
UgxGcndRxKxEEz8JWqp4AaABAg,Nah bro they are cooked 🤑🫣🫣🫣,UC_Tt90AJwJHQajBcy9jqukA,@BabaBooey555,1,2024-05-26T20:10:07Z
A3uxu7qsn9WA3uy54ELudW,6th second is by far the best,UCARz3NpsrrrLHXjh5E897uw,@DJ-mi9ig,1,2024-05-26T20:11:48Z
A3uyEdFcox1A3v2eSVv0_k,"46 minutes and not a pin, heart or even reply from memezee",UCk1wQc6AaStKxQOZmbuOejg,@Unknown.160,1,2024-05-26T21:00:27Z
A3uxvmU_nl-A3xJKDaIWl3,Half eaten donut?,UCTMEGWsJYnFC-TWUvSCxcXA,@Watermeloncat6000,1,2024-05-27T18:04:35Z
UgxdppJ3KK8pSxCxQpp4AaABAg,Hi I’m your first comment,UCzkqPKpd9Z_YNKjz4TET6gw,@BrockNutter,1,2024-05-26T20:10:13Z
A3uy0hJByAEA3vk0Bvfhg2,​@UTUBETROLLPOLICE_LoganFloor.2you only have 0 iq brain,UCCE2cy45xC6pZxlwDfrV77Q,@user-lw9ch9km9w,1,2024-05-27T03:28:02Z
A3uy0hJByAEA3wd5DEtsg-,​@@SandamaliNisansala- ratio,UC2Nz06F-8eX9zectCZ_RADQ,@susseramogus510,1,2024-05-27T11:46:48Z
A3uy0hJByAEA3weDLTIJ_o,@@susseramogus510 Your name is kinda sus...,UCorsNVwAYAIeHEUb7FJjNtg,@SandamaliNisansala-,1,2024-05-27T11:56:39Z
UgxK28wplfklAWIkqCp4AaABAg,"Bro I passed all three of them answers, Naw I’m definitely cooked 💀😭🙏🏻",UC6a60U-llHpA9WyyQCDG3Lg,@boomgraffiti6134,1,2024-05-26T20:10:54Z
UgxeyBVNtITCeis_xOh4AaABAg,40 comments arealy,UCp8tXVrKSHeZAs1_50agGCA,@SNOWYMONKEVR_2025,1,2024-05-26T20:10:14Z
UgxKTYVb7-G5GDk3Lk14AaABAg,I put it on skibidi no diddy fr fr fr,UCPLVcSgdL_CIHigu1NBC9eQ,@TheTax3dOne,1,2024-05-26T20:10:15Z
A3uxyzmTYupA3v8Fqo4LFh,Say on skibidi,UC4Hbw_PjCUK2btqmrY-wQTQ,@Burgerer300,1,2024-05-26T21:49:23Z
Ugx9CYNg1ZSTPw02mT14AaABAg,I PUT IT ON SKIBIDI🗣🔥💯,UC1RuXTeY6rdmjiNXl2ZxfRQ,@Billy_On_Vr,1,2024-05-26T20:10:46Z
A3uxus2HQKZA3uy8Z3fK0F,Edge. Edge. How many times have you watched explicit content? Edge. Edge.,UCiGRiY6sGYox4WBr3kG724w,@fanofpizzatower23199,1,2024-05-26T20:12:16Z
Ugx8jBDrx2tTA8Uyteh4AaABAg,"how many times have you watched explicit content
Jjjkjkjkjkjkk",UCuLDk7dptqFEh_WI6ftAAjA,@iceblade17cj,1,2024-05-26T20:10:16Z
UgykOqVCVGp7YBMFq154AaABAg,0 likes in 0 seconds!! prime memezee would’ve done better,UCWOv36tH0Vs_Ga6s8BP1YDQ,@cuauh.,1,2024-05-26T20:10:17Z
A3uxw8ulfxrA3xdVp-RdR6,@UTUBETROLLPOLICE_LoganFloor.2 Why do you even support UTTP you actual 10 year old,UCkVPrfI0u86JxgAS42yLqxg,@NirvanaFace,1,2024-05-27T21:09:40Z
A3uyEdFcox1A3v2tIrBZ0_,STOP DONATING SO MUCH MONEY MAN,UCnj7O6VFfDTMqNkG7ib1tlg,@poggingmilk9452,1,2024-05-26T21:02:29Z
UgywmlrRsIa19OaZjjh4AaABAg,Me when I watermeloned the cat: 🗿(First),UCjf71pkOO8t8L_crhIn8Dsw,@ItsAlce,1,2024-05-26T20:11:15Z
UgyQbphPLa2K4d0nmed4AaABAg,Ok,UCsxj77Oe7VLbwK3LtnQH1rQ,@IlikesodaSoda,1,2024-05-26T20:09:51Z
UgyzanA6G6aat5Sm6wB4AaABAg,We reaching 18 subs with this one! Put that on skibidi!,UCriEOoQ3kZR21eXnkNcYxEw,@Elektr0FenyxMusic,1,2024-05-26T21:39:24Z
A3uyEdFcox1A3vjMGm9YeP,you mean it isn’t Bernard?,UCui7yqprKDn_v5k-LNXrFMA,@wgamingtime9040,1,2024-05-27T03:22:19Z
UgyZNY6F7Zx8j9I66uZ4AaABAg,barry right?,UCA1EGk9A3rAoWhQlpjQDGNw,@insanepig,1,2024-06-01T16:25:46Z
Ugx1YQGSyxEplAkAisZ4AaABAg,Nah lil bro did not know duke Dennis 💀,UCgdFu3SJD9n-xHS241ws8qQ,@user-sx1ne9ky1x,1,2024-05-26T23:50:42Z
A3uyEdFcox1A3v1jyr6tAD,Here before pin,UCT95PtvXhGPe24Omrs-QNqA,@Bradyzis,1,2024-05-26T20:52:28Z
UgwmJXRble4YP7ySfXF4AaABAg,😂😂😂,UC5ew-sMLqk0ok0riMU9xqPA,@kalleyneves,1,2024-05-28T20:39:38Z
UgxPDL5X7-UzCMpxJiV4AaABAg,Who is the cat on the watermelon?,UCp5R9Q7SENqd5rZk5JF73Yg,@plant3202,1,2024-05-28T19:00:23Z
Ugyjf73lZblBvsQiZ_d4AaABAg,what in the bomboclat is this?,UCOy0TgYZI365NzO_lw_xOXw,@aaronisepic1,1,2024-05-27T12:25:25Z
Ugyl0MJZbeR2On3kv1N4AaABAg,Cat named Bernard 🍉😺🔥,UCDW4-yBty0cHvqO0iGhTNgA,@FunnyGoofyPurpleCat69420,1,2024-05-28T14:45:42Z
UgyRnZe5FFxkmv2do3Z4AaABAg,"Bro’s so stupid, it’s not BERNARD, the cat’s name is Cornelius OBVIOUSLY, smh",UCiTims93_5vBE47Sje0KuWA,@C-qw7bi,1,2024-05-27T12:27:59Z
A3uyEdFcox1A3v3WG6E1Ax,​@@MemeZeeWHAT LANE ⁉️,UCrE_j30Uc0ChD-0SP5vS6Zg,@SuperSeniorGojoAfterYourGYAT,1,2024-05-26T21:07:56Z
